Date,Region,Product Category,Sales Amount (USD),Revenue (USD),Customer ID,Marketing Channel
2020-11-12,East,Furniture,9816,1675,GL6ZW,Direct Mail
2022-09-26,North,Apparel,7612,5068,DQNLO,Direct Mail
2022-09-15,West,Toys,7708,8585,VYOU4,Online Ads
2023-11-01,South,Furniture,2178,5460,LDMRQ,Online Ads
2023-10-06,West,Electronics,4501,7268,7PRHE,Online Ads
2021-07-23,North,Apparel,5662,4689,CEKH8,Social Media
2023-08-23,West,Electronics,6708,3154,TAB1Q,Online Ads
2020-12-05,East,Apparel,7317,5023,E3XRT,Email
2020-03-24,West,Toys,5742,6034,QDXJA,Email
2021-09-24,North,Toys,8510,2474,M2Z1U,Direct Mail
2023-02-24,West,Toys,5081,8294,0VRW1,Email
2020-11-04,South,Electronics,9590,8573,QDS9W,Direct Mail
2020-09-07,North,Furniture,1609,3141,H3AXQ,Email
2020-02-23,West,Furniture,9561,5547,JKW5R,Email
2021-08-06,East,Furniture,8795,4507,C7QGZ,Online Ads
2022-11-07,West,Toys,2986,3934,V5MLO,Email
2021-03-24,East,Electronics,5698,5522,3VETZ,Social Media
2022-06-25,East,Apparel,6975,8833,JK6YL,Direct Mail
2023-03-05,East,Apparel,3328,7371,BY7OI,Online Ads
2020-05-19,South,Electronics,5223,1454,ZD8DY,Online Ads
2021-10-28,West,Toys,4997,4004,YQG08,Email
2020-08-03,South,Toys,8381,3299,CKT9Y,Email
2020-06-02,South,Apparel,8439,5760,HG9NE,Direct Mail
2022-10-08,East,Toys,3862,3831,H14FF,Online Ads
2022-05-08,North,Electronics,3155,7510,0NKDO,Online Ads
2020-10-20,South,Electronics,8626,2163,DT7TO,Direct Mail
2023-12-25,South,Furniture,9406,1196,ELUDZ,Social Media
2020-03-12,West,Toys,1771,6703,ISZCS,Direct Mail
2021-11-09,South,Furniture,6070,6860,LIMV5,Social Media
2023-09-07,East,Toys,5283,5631,NN0ES,Direct Mail
2023-01-10,South,Electronics,9627,7691,549YI,Social Media
2023-09-02,South,Electronics,1312,5593,PHO4J,Email
2022-09-12,West,Electronics,1843,5239,OCVZF,Online Ads
2023-06-17,East,Apparel,9347,8953,ME06F,Social Media
2021-12-20,South,Apparel,2675,2656,P9GL5,Direct Mail
2020-03-18,West,Electronics,6422,7693,OGDNG,Direct Mail
2023-11-13,South,Electronics,8579,7111,DLJKN,Email
2021-09-27,East,Furniture,6544,8819,60DH2,Direct Mail
2021-02-16,South,Electronics,9383,2778,QR0RU,Email
2020-10-14,East,Furniture,6755,2931,PLIHY,Online Ads
2021-10-12,South,Electronics,9619,7224,SXVZE,Social Media
2020-10-26,South,Electronics,6780,5367,CAAHB,Social Media
2021-12-17,South,Furniture,2811,2924,N46N6,Online Ads
2022-08-17,North,Electronics,5532,7564,RPMJL,Direct Mail
2022-08-06,East,Toys,8532,1395,NCB3F,Direct Mail
2020-01-18,West,Toys,2485,2821,O90BQ,Email
2022-12-01,South,Electronics,6787,2834,TXDE5,Direct Mail
2022-08-15,North,Electronics,2348,4354,HF5SB,Social Media
2022-10-14,East,Toys,5563,3484,VTPGD,Online Ads
